parent_shelfmark,synthetic_sys_id,inventory_id,real_child_count,sample_real_children
T-S 8H10,990002303099000000,2303099,12,T-S 8H10.10|T-S 8H10.21|T-S 8H10.22
T-S 8H17,990000064099000000,64099,9,T-S 8H17.1|T-S 8H17.12|T-S 8H17.3
T-S 8H18,990001775099000000,1775099,19,T-S 8H18.4|T-S 8H18.13|T-S 8H18.5
T-S 8H9,990002308099000000,2308099,5,T-S 8H9.1|T-S 8H9.2|T-S 8H9.4
T-S K25.240,990001759099000000,1759099,56,T-S K25.240.17|T-S K25.240.8|T-S K25.240.44
T-S K5,990001761099000000,1761099,109,T-S K5.13|T-S K5.21|T-S K5.50
T-S K6,990001762099000000,1762099,192,T-S K6.31|T-S K6.157|T-S K6.192
T-S Misc. 27.3,990000065099000000,65099,44,T-S Misc. 27.3.9|T-S Misc. 27.3.9|T-S Misc. 27.3.18
T-S Misc. 34,990000201099000000,201099,142,T-S Misc. 34.68|T-S Misc. 34.68|T-S Misc. 34.41
T-S NS 108,990001803099000000,1803099,539,T-S NS 108.2|T-S NS 108.2|T-S NS 108.2
T-S NS 110,990002644099000000,2644099,546,T-S NS 110.15|T-S NS 110.15|T-S NS 110.15
T-S NS 112,990000030099000000,30099,536,T-S NS 112.90|T-S NS 112.90|T-S NS 112.90
T-S NS 127,990000005099000000,5099,396,T-S NS 127.15|T-S NS 127.15|T-S NS 127.15
T-S NS 139,990000033099000000,33099,603,T-S NS 139.175|T-S NS 139.175|T-S NS 139.175
T-S NS 161,990002646099000000,2646099,1009,T-S NS 161.155|T-S NS 161.155|T-S NS 161.155
T-S NS 172,990000015099000000,15099,510,T-S NS 172.117|T-S NS 172.117|T-S NS 172.117
T-S NS 197,990000035099000000,35099,286,T-S NS 197.16|T-S NS 197.16|T-S NS 197.16
T-S NS 22,990002295099000000,2295099,116,T-S NS 22.14|T-S NS 22.14|T-S NS 22.14
T-S NS 239,990000036099000000,36099,220,T-S NS 239.24|T-S NS 239.24|T-S NS 239.24
T-S NS 308,990002647099000000,2647099,391,T-S NS 308.31|T-S NS 308.31|T-S NS 308.31
