cudl_classmark,cudl_label,cudl_manifest_url,best_delta,neighbor_norm,neighbor_sys_id,neighbor_call_numbers,all_neighbors
tsf12.4,MS-TS-F-00012-00004,http://cudl.lib.cam.ac.uk/iiif/MS-TS-F-00012-00004,-1,tsf12.3,990001410430205171,T-S F12.3,d-1=tsf12.3->990001410430205171; d+1=tsf12.5->990001410440205171; d-2=tsf12.2->990001410420205171; d+2=tsf12.6->990001410450205171
tsf17.40,MS-TS-F-00017-00040,http://cudl.lib.cam.ac.uk/iiif/MS-TS-F-00017-00040,-1,tsf17.39,990051179940205171,T-S F17.39,d-1=tsf17.39->990051179940205171; d+1=tsf17.41->990051179960205171; d-2=tsf17.38->990051179930205171; d+2=tsf17.42->990051179970205171
tsk25.240,MS-TS-K-00025-00240,http://cudl.lib.cam.ac.uk/iiif/MS-TS-K-00025-00240,-1,tsk25.239,990051218730205171,Cambridge University Library Ms. T-S K 25.239 | Ms. T-S K 25.239 | T-S K25.239,d-1=tsk25.239->990051218730205171; d+1=tsk25.241->990051219300205171; d-2=tsk25.238->990051218720205171; d+2=tsk25.242->990051219310205171
tsmisc10.38,MS-TS-MISC-00010-00038,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00010-00038,-1,tsmisc10.37,990051356070205171,Cambridge University Library Ms. T-S Misc. 10.37 | Ms. T-S Misc. 10.37 | T-S Misc.10.37,d-1=tsmisc10.37->990051356070205171; d+1=tsmisc10.39->990051356080205171; d-2=tsmisc10.36->990051356060205171; d+2=tsmisc10.40->990051356090205171
tsmisc20.53,MS-TS-MISC-00020-00053,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00020-00053,-1,tsmisc20.52,990051366440205171,Cambridge University Library Ms. T-S Misc. 20.52 | Ms. T-S Misc. 20.52 | T-S Misc.20.52,d-1=tsmisc20.52->990051366440205171; d+1=tsmisc20.54->990051366450205171; d-2=tsmisc20.51->990051082070205171; d+2=tsmisc20.55->990051366460205171
tsmisc20.158,MS-TS-MISC-00020-00158,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00020-00158,-1,tsmisc20.157,990051367380205171,Cambridge University Library Ms. T-S Misc. 20.157 | Ms. T-S Misc. 20.157 | T-S Misc.20.157,d-1=tsmisc20.157->990051367380205171; d+1=tsmisc20.159->990051082170205171; d-2=tsmisc20.156->990051367370205171; d+2=tsmisc20.160->997008739661205171
tsmisc22.165,MS-TS-MISC-00022-00165,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00022-00165,-1,tsmisc22.164,990051369560205171,Cambridge University Library Ms. T-S Misc. 22.164 | Ms. T-S Misc. 22.164 | T-S Misc.22.164,d-1=tsmisc22.164->990051369560205171; d+1=tsmisc22.166->990051369570205171; d-2=tsmisc22.163->990051369550205171; d+2=tsmisc22.167->990051369580205171
tsmisc22.221,MS-TS-MISC-00022-00221,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00022-00221,-1,tsmisc22.220,990051370070205171,Cambridge University Library Ms. T-S Misc. 22.220 | Ms. T-S Misc. 22.220 | T-S Misc.22.220,d-1=tsmisc22.220->990051370070205171; d+1=tsmisc22.222->990051370080205171; d-2=tsmisc22.219->990051370060205171; d+2=tsmisc22.223->990051370090205171
tsmisc30.67.21,MS-TS-MISC-00030-00067-00002-00001,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00030-00067-00002-00001,-1,tsmisc30.67.20,990051379920205171,Cambridge University Library Ms. T-S Misc. 30.67.20 | Ms. T-S Misc. 30.67.20 | T-S Misc.30.67.20,d-1=tsmisc30.67.20->990051379920205171; d-2=tsmisc30.67.19->990051379910205171
tsmisc30.67.22,MS-TS-MISC-00030-00067-00002-00002,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00030-00067-00002-00002,-2,tsmisc30.67.20,990051379920205171,Cambridge University Library Ms. T-S Misc. 30.67.20 | Ms. T-S Misc. 30.67.20 | T-S Misc.30.67.20,d-2=tsmisc30.67.20->990051379920205171
tsns329.10,MS-TS-NS-00329-00010,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00010,-1,tsns329.9,990001418530205171,T-S NS 329.9,d-1=tsns329.9->990001418530205171; d-2=tsns329.8->990001418520205171; d+2=tsns329.12->990001418540205171
tsns329.11,MS-TS-NS-00329-00011,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00011,1,tsns329.12,990001418540205171,Cambridge University Library Ms. T-S NS 329/0012 | Ms. T-S NS 329/0012 | T-S NS 329.12,d+1=tsns329.12->990001418540205171; d-2=tsns329.9->990001418530205171; d+2=tsns329.13->990051725870205171
tsns329.96,MS-TS-NS-00329-00096,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00096,-1,tsns329.95,990051726370205171,Cambridge University Library Ms. T-S NS 329.95 | Ms. T-S NS 329.95 | T-S NS 329.95,d-1=tsns329.95->990051726370205171; d+1=tsns329.97->990001418910205171; d-2=tsns329.94->990001418900205171; d+2=tsns329.98->990001418920205171
tsns329.145,MS-TS-NS-00329-00145,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00145,-1,tsns329.144,990051726740205171,Cambridge University Library Ms. T-S NS 329.144 | Ms. T-S NS 329.144 | T-S NS 329.144,d-1=tsns329.144->990051726740205171; d+1=tsns329.146->990001419030205171; d-2=tsns329.143->990051726730205171; d+2=tsns329.147->990001419040205171
tsns329.148,MS-TS-NS-00329-00148,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00148,-1,tsns329.147,990001419040205171,T-S NS 329.147,d-1=tsns329.147->990001419040205171; d+1=tsns329.149->990001419050205171; d-2=tsns329.146->990001419030205171; d+2=tsns329.150->990001419060205171
tsns329.245,MS-TS-NS-00329-00245,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00245,-1,tsns329.244,990051727440205171,Cambridge University Library Ms. T-S NS 329.244 | Ms. T-S NS 329.244,d-1=tsns329.244->990051727440205171; d+1=tsns329.246->990001419340205171; d-2=tsns329.243->990001419330205171; d+2=tsns329.247->990051727450205171
tsns329.465,MS-TS-NS-00329-00465,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00465,-1,tsns329.464,990051728970205171,T-S NS 329.464,d-1=tsns329.464->990051728970205171; d+1=tsns329.466->990001420090205171; d-2=tsns329.463->990051728960205171; d+2=tsns329.467->990051728980205171
tsns329.491,MS-TS-NS-00329-00491,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00491,-1,tsns329.490,990001420180205171,T-S NS 329.490,d-1=tsns329.490->990001420180205171; d+1=tsns329.492->990051729140205171; d-2=tsns329.489->990051729130205171; d+2=tsns329.493->990051729150205171
tsns329.644,MS-TS-NS-00329-00644,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00644,-1,tsns329.643,990001420560205171,T-S NS 329.643,d-1=tsns329.643->990001420560205171; d-2=tsns329.642->990001420550205171
tsns329.645,MS-TS-NS-00329-00645,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00645,-2,tsns329.643,990001420560205171,T-S NS 329.643,d-2=tsns329.643->990001420560205171
tsns329.646,MS-TS-NS-00329-00646,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00646,2,tsns329.648,990001420570205171,T-S NS 329.648,d+2=tsns329.648->990001420570205171
tsns329.647,MS-TS-NS-00329-00647,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00647,1,tsns329.648,990001420570205171,T-S NS 329.648,d+1=tsns329.648->990001420570205171; d+2=tsns329.649->990051730300205171
tsns329.700,MS-TS-NS-00329-00700,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00700,-1,tsns329.699,990051730660205171,T-S NS 329.699,d-1=tsns329.699->990051730660205171; d-2=tsns329.698->990001420730205171; d+2=tsns329.702->990001420740205171
tsns329.701,MS-TS-NS-00329-00701,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00701,1,tsns329.702,990001420740205171,T-S NS 329.702,d+1=tsns329.702->990001420740205171; d-2=tsns329.699->990051730660205171; d+2=tsns329.703->990001420750205171
tsns329.785,MS-TS-NS-00329-00785,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00785,-1,tsns329.784,990001421060205171,T-S NS 329.784,d-1=tsns329.784->990001421060205171; d+1=tsns329.786->990001421070205171; d-2=tsns329.783->990001421050205171; d+2=tsns329.787->990051731190205171
tsns329.794,MS-TS-NS-00329-00794,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00794,-1,tsns329.793,990001421090205171,T-S NS 329.793,d-1=tsns329.793->990001421090205171; d+1=tsns329.795->990051731250205171; d-2=tsns329.792->990001421080205171; d+2=tsns329.796->990051731260205171
tsns329.798,MS-TS-NS-00329-00798,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00798,-1,tsns329.797,990001421100205171,T-S NS 329.797,d-1=tsns329.797->990001421100205171; d+1=tsns329.799->990001421110205171; d-2=tsns329.796->990051731260205171; d+2=tsns329.800->990001421120205171
tsns329.847,MS-TS-NS-00329-00847,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00847,-1,tsns329.846,990001421390205171,T-S NS 329.846,d-1=tsns329.846->990001421390205171; d-2=tsns329.845->990001421350205171; d+2=tsns329.849->990051731490205171
tsns329.848,MS-TS-NS-00329-00848,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00848,1,tsns329.849,990051731490205171,Cambridge University Library Ms. T-S NS 311.90 | Cambridge University Library Ms. T-S NS 329.849 | Ms. T-S NS 311.90 | Ms. T-S NS 329.849 | T-S NS 329.849,d+1=tsns329.849->990051731490205171; d-2=tsns329.846->990001421390205171; d+2=tsns329.850->990051731500205171
tsns329.860,MS-TS-NS-00329-00860,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00860,-1,tsns329.859,990001421400205171,T-S NS 329.859,d-1=tsns329.859->990001421400205171; d+1=tsns329.861->990001421410205171; d-2=tsns329.858->990001421380205171; d+2=tsns329.862->990001421420205171
tsns329.911,MS-TS-NS-00329-00911,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00911,-1,tsns329.910,990001421500205171,T-S NS 329.910,d-1=tsns329.910->990001421500205171; d-2=tsns329.909->990051731940205171; d+2=tsns329.913->990001421510205171
tsns329.912,MS-TS-NS-00329-00912,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00912,1,tsns329.913,990001421510205171,Cambridge University Library Ms. T-S NS 329/0913 | Ms. T-S NS 329/0913 | T-S NS 329.913,d+1=tsns329.913->990001421510205171; d-2=tsns329.910->990001421500205171; d+2=tsns329.914->990051731950205171
tsns329.939,MS-TS-NS-00329-00939,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00939,-1,tsns329.938,990051732160205171,Cambridge University Library Ms. T-S NS 329.938 | Ms. T-S NS 329.938 | T-S NS 329.938,d-1=tsns329.938->990051732160205171; d-2=tsns329.937->990001421550205171; d+2=tsns329.941->990001421570205171
tsns329.940,MS-TS-NS-00329-00940,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00940,1,tsns329.941,990001421570205171,T-S NS 329.941,d+1=tsns329.941->990001421570205171; d-2=tsns329.938->990051732160205171
tsns329.942,MS-TS-NS-00329-00942,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00942,-1,tsns329.941,990001421570205171,T-S NS 329.941,d-1=tsns329.941->990001421570205171; d+2=tsns329.944->990051732170205171
tsns329.943,MS-TS-NS-00329-00943,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-00943,1,tsns329.944,990051732170205171,Cambridge University Library Ms. T-S NS 329.944 | Ms. T-S NS 329.944 | T-S NS 329.944,d+1=tsns329.944->990051732170205171; d-2=tsns329.941->990001421570205171; d+2=tsns329.945->990051732180205171
tsns329.1008,MS-TS-NS-00329-01008,http://cudl.lib.cam.ac.uk/iiif/MS-TS-NS-00329-01008,-1,tsns329.1007,990051732640205171,Cambridge University Library Ms. T-S NS 246.26.6 | Cambridge University Library Ms. T-S NS 329.1007 | Ms. T-S NS 246.26.6 | Ms. T-S NS 329.1007 | T-S NS 329.1007,d-1=tsns329.1007->990051732640205171; d+1=tsns329.1009->990051732660205171; d-2=tsns329.1006->990051732630205171; d+2=tsns329.1010->990001421780205171
