סימן מדף,סוג,חיבור,סיכום,FGP מקומי,הערות,ספרייה,קישורים
Ms. T-S H 18.46,הוראות ונוסח,סידור רס״ג — לפי הקטלוג,לאחר תפילת ראש השנה: הוראה לומר בשאר עשרת ימי תשובה המלך הקדוש והמלך המשפט.,יש,תעתיק FGP קיים ברמת סימן המדף.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051198900205171&page=1&volume_ie=IE202925725
T-S F8.62,דיון,"הלכות הרי״ף, ברכות",מסקנה מפורשת: מי שאמר את החתימות הרגילות לא יצא וצריך לחזור.,לא נמצא,עד לחיבור ידוע; לא זוהה חידוש נוסח. צילום נבדק: כתב יד.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051174480205171&page=2&volume_ie=IE164875445
T-S Misc.19.96,דפוס,"רי״ף ותלמידי רבנו יונה, ברכות",דן בסדר החזרה אחרי טעות בהמלך המשפט; במנהג הכריעה בזכרנו ובמי כמוך; ובמחלוקת אם ההשמטה מחייבת חזרה.,לא נמצא,"צילום נבדק: דף דפוס, לא כתב יד.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051082000205171&page=2&volume_ie=IE158895584
T-S Misc.12.16.3,דפוס,בבלי ברכות עם רש״י ותוספות,"טעמי החתימות; בתוספות דעה המחייבת חזרה גם בהשמטת זכרנו, מי כמוך ויתר התוספות, ובספק.",לא נמצא,"צילום נבדק: דף דפוס, לא כתב יד.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051360460205171&page=4&volume_ie=IE158599612
T-S K12.45,דיון,ספר הקנה — לפי הקטלוג,"דיון בצורת שאלות ותשובות: אם אין לשאול צרכים בראשונות, מדוע זכרינו לחיים? מציע שזו בקשה לצורך גבוה.",לא נמצא,צילום נבדק: כתב יד. הפירוש הקבלי הוא בחיבור מוכר; לא הוכח חידוש.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051210670205171&page=4&volume_ie=IE166916516
T-S Misc.16.36,דפוס,"רבנו בחיי, סוף האזינו",זכרנו לחיים וכתבנו בספר החיים מתפרשים על חיי הגוף בעולם הזה המאפשרים זכייה בחיי הנפש.,לא נמצא,צילום נבדק: דף דפוס.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051080660205171&page=2&volume_ie=IE168408499
Ms. 4028.56,דיון,לקט פירושי תפילה — לפי הקטלוג,"שואל מדוע חותמים המלך המשפט בעשרת ימי תשובה, ומשיב שהקב״ה יושב אז למשפט.",יש,לא זוהה מחבר; תעתיק FGP קיים ברמת סימן המדף.,National and University Library of Strasbourg,https://genizahsearch.com/browse?sys_id=990053947520205171&page=2&volume_ie=IE203076095
Ms. 1054.1,הוראות ונוסח,הוראות תפילה בערבית־יהודית,החלפת האל הקדוש ומלך אוהב צדקה ומשפט בחתימות המלך בעשרת ימי תשובה.,יש,קטע פגום; אין בו בפסקה הנגישה מחלוקת מפותחת.,The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053063850205171&page=1&volume_ie=IE202925576
Ms. 2213.1,דיון,סידור עם הוראות בערבית־יהודית,"מתאר אנשים שהנהיגו זכרנו לחיים, מי כמוך, ויגבה, זכור רחמיך, וכתוב לחיים ובספר חיים; סמוך לכך דיון בהנחילנו בשמחה.",יש,יש תעתיק FGP. אין לייחס למחבר עמדה מלאה מעבר לנוסח הנגיש.,The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053156940205171&page=2&volume_ie=IE203058647
T-S NS 325.210b,הוראות ונוסח,"סידור, ראש השנה ועשרת ימי תשובה","קובע את משך אמירת התוספות מליל ראש השנה עד נעילת יום הכיפורים, ואת מקומן בברכות.",לא נמצא,עד מועיל להשוואת הנוסח והיקף הימים.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051721780205171&page=2&volume_ie=IE164912809
Ms. T-S H 18.31,הוראות ונוסח,סידור עם הוראות בערבית־יהודית,"מציין מיקום מדויק לזכור רחמיך לפני ועל כולם, ומביא נוסח מורחב לסילוק דבר, חרב, רעב ומגפה; גם בספר חיים.",יש,תעתיק FGP קיים.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051198750205171&page=1&volume_ie=IE202925329
Ms. T-S H 5.146,הוראות ונוסח,סידור עם הוראות בערבית־יהודית,חיוב אמירת המלך הקדוש והמלך המשפט בכל עשרת הימים שמראש השנה ועד יום הכיפורים.,יש,בהמשך דיני ערב יום הכיפורים; אין לבלבל עם הדיון בתוספות עצמן.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051187240205171&page=2&volume_ie=IE202913154
Ms. T-S H 5.147,הוראות ונוסח,"סידור, עשרת ימי תשובה ויום הכיפורים","מפרט תוספות בשלוש הראשונות ובשתי האחרונות, המלך המשפט ונוסחי זכרנו ומי כמוך.",יש,תעתיק פגום בחלקו; תעתיק FGP קיים.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051187250205171&page=2&volume_ie=IE202913180
Ms. 2139.5,הוראות ונוסח,"רמב״ם, סדר התפילה — לפי הקטלוג","פירוט התוספות לפי מספרי הברכות: זכרנו, תוספת בגבורות, ויגבה, זכור רחמיך וכתוב לחיים ובספר חיים.",יש,"עד לנוסח סדר התפילה שבמשנה תורה, לא תשובה חדשה.",The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053134560205171&page=2&volume_ie=IE202299779
Or. 5558L.13,דיון,"רמב״ם, הלכות תפילה ב",מבחין בין שינוי החתימות ובין תוספות שנהגו בחלק מהמקומות: זכרינו ומי כמוך.,לא נמצא,העמוד הנגיש מסתיים לאחר מי כמוך; יתר ההמשך אינו מצוטט כאן.,The British Library,https://genizahsearch.com/browse?sys_id=990053643980205171&page=1&volume_ie=IE201872510
T-S Misc.14.42.10,דפוס,"רמב״ם, הלכות תפילה ב — לפי הטקסט","יש מקומות שנהגו להוסיף זכרנו, מי כמוך ובספר חיים; שינוי חתימות בעשרת הימים.",לא נמצא,"צילום נבדק: דפוס משנה תורה, בניגוד לקטלוג המציג הרי״ף שבת. סימן המדף על הצילום תואם.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051080170205171&page=1&volume_ie=IE158656219
ENA 1492.3,דיון,"הלכות הרי״ף, ברכות",מביא את המחלוקת התלמודית בחתימות ומסיק שאם לא אמר המלך לא יצא וצריך לחזור.,לא נמצא,"עד נוסף לאותה פסקה בהרי״ף, לא דעה נוספת.",The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053577000205171&page=2&volume_ie=IE149736637
T-S AS 75.166,דיון,"הלכות הרי״ף, ברכות",שריד המחלוקת וההכרעה בהמלך הקדוש ובהמלך המשפט.,לא נמצא,קטע קצר ופגום; אין להשלים ממנו את כל הפסיקה ללא מקבילה.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051931030205171&page=1&volume_ie=IE169580772
T-S F10.60,דיון,הלכות גדולות — לפי הקטלוג,מביא את שינוי החתימות בין ראש השנה ליום הכיפורים ואת המחלוקת התלמודית.,לא נמצא,עד לחיבור מוכר; חלק מהשורות פגומות.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051177410205171&page=1&volume_ie=IE164922404
Ms. Talm. I 23,דיון,הלכות תפילה בערבית־יהודית — לפי הקטלוג,דיון בשינוי החתימות בעשרת ימי תשובה ובסדר ברכות ראש השנה.,לא נמצא,הטקסט הנגיש משובש מאוד; מיקום ספרייה נכלל בנתוני המקור.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990001842310205171&page=2&volume_ie=IE168666219
T-S NS 166.150,דפוס,"דיני תפילה בסידור, עמ׳ תקכג",בהשמטת זכרנו וכדומה אינו חוזר לאחר אמירת השם; קודם לכן מתקן. מפרט תיקון המלך הקדוש בתוך כדי דיבור.,לא נמצא,צילום נבדק: דפוס מאוחר.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051551710205171&page=1&volume_ie=IE167171591
T-S NS 27.278,דפוס,סידור עם הוראות הלכה,"מי שלא אמר המלך המשפט חוזר להשיבה לפני עקירת רגליים, ולראש אחר עקירתן.",לא נמצא,צילום נבדק: דפוס.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051401210205171&page=2&volume_ie=IE159717064
T-S NS 26.222,דפוס,דיני תפילה על פי החיד״א — זיהוי לפי הטקסט,"טעה ואמר מלך אוהב צדקה ומשפט בעשרת ימי תשובה: חוזר, תוך הפניות לברכי יוסף ומחזיק ברכה.",לא נמצא,"דפוס מסתבר מאוד מן העימוד, ההפניות והמקבילה תפילת החדש; צילום לא נבדק.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051396890205171&page=1&volume_ie=IE159709968
T-S NS 79.39,דפוס,פירוש קבלי — מחבר לא זוהה,מסביר המלך הקדוש והמלך המשפט בזיקה לבריאת העולם ולרעיון שאין מלך בלא עם.,לא נמצא,צילום נבדק: דף דפוס; המחבר לא זוהה בסבב זה.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051444210205171&page=1&volume_ie=IE168430425
ENA 3307.6,דיון,"ספר מצוות גדול, עשה יט–כ — לפי הקטלוג",היתר שאלת צורכי רבים בראשונות משמש הסבר לאמירת זכרנו וקרובות.,לא נמצא,עד לחיבור מוכר; צילום לא נבדק.,The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053599110205171&page=1&volume_ie=IE159351457
Ms. 964.2,הוראות ונוסח,"סידור, ראש השנה ועשרת ימי תשובה",נוסח מי כמוך הכולל זכור יצוריך ברחמים ומלך יושב על כסא רחמים; בעמ׳ 2 רשימת התוספות מראש השנה עד יום הכיפורים.,יש,שני עמודים נבדקו דרך API; נספר סימן מדף אחד.,The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053061530205171&page=1&volume_ie=IE202923122 ; https://genizahsearch.com/browse?sys_id=990053061530205171&page=2&volume_ie=IE202923122
Ms. 2675.8,הוראות ונוסח,קטע סידור — לפי הקטלוג,"הוראות מקוצרות למגן, מחיה, המלך הקדוש, וכתוב לחיים ובספר חיים.",יש,"קטע פגום; עד נוסח, ללא דיון מנומק.",The Jewish Theological Seminary of America,https://genizahsearch.com/browse?sys_id=990053184570205171&page=1&volume_ie=IE203064980
T-S NS 123.107,הוראות ונוסח,עמידת ימים נוראים,זכרנו לחיים מלך רחמן; בגבורות מי דומה לך אב הרחמים.,לא נמצא,עד נוסח בלבד; אין ללמוד ממנו עמדה הלכתית מנומקת.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051484860205171&page=1&volume_ie=IE161269601
T-S NS 154.23,הוראות ונוסח,עמידת יום הכיפורים,זכרנו לחיים אל מלך; מי כמוכה אב הרחמן זוכר יצוריו ברחמים לחיים.,לא נמצא,עד נוסח בלבד; הקריאה האוטומטית דורשת אימות.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051529290205171&page=2&volume_ie=IE167131154
T-S NS 152.45,הוראות ונוסח,עמידת ראש השנה,מי כמוך אב הרחמן זוכר יצוריו ברחמים; ויגבה בברכת קדושת השם.,לא נמצא,עד נוסח בלבד.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051525560205171&page=2&volume_ie=IE167124766
T-S NS 296.6,הוראות ונוסח,עמידת ראש השנה,"מי כמוך אב הרחמן זוכר יצוריו ברחמים לחיים, לצד ובכן.",לא נמצא,עד נוסח בלבד.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051683910205171&page=2&volume_ie=IE169475023
Ms. EVR II A 80,מוצא לא אומת,שו״ת הרדב״ז — לפי הקטלוג,דיון בביטול תוספות קדושה ביום הכיפורים; זכרנו ומי כמוך משמשים ראיה להיתר צורכי רבים ולכוח המנהג.,יש,עמ׳ 26–27. מקור נדפס מוכר; מוצא כתב היד מן הגניזה לא אומת.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990001429210205171&page=26&volume_ie=IE48872367 ; https://genizahsearch.com/browse?sys_id=990001429210205171&page=27&volume_ie=IE48872367
Ms. EVR II A 313/2,מוצא לא אומת,"חיי עולם, הלכות תפילה — לפי הקטלוג","מחייב חזרה גם במי שלא אמר זוכרנו, מי כמוך, וכתוב לחיים ובספר חיים.",לא נמצא,קריאה על פי הטקסט האוטומטי בלבד; מוצא מן הגניזה לא אומת.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990000622680205171&page=14&volume_ie=IE37440523
Ms. EVR IV 2,מוצא לא אומת,"ארחות חיים, חלק א",דיונים בהיתר התוספות ובחיים טובים; בשם רב האי הבחנה בין טעות בחתימות קודם סיום התפילה ולאחריו.,לא נמצא,"עמ׳ 47,52 הם העיקר; עמ׳ 12,22 מספקים הקשר. חיבור ידוע; מוצא מן הגניזה לא אומת.",The National Library of Russia,https://genizahsearch.com/browse?sys_id=990000923530205171&page=12&volume_ie=IE50313308 ; https://genizahsearch.com/browse?sys_id=990000923530205171&page=47&volume_ie=IE50313308 ; https://genizahsearch.com/browse?sys_id=990000923530205171&page=52&volume_ie=IE50313308 ; https://genizahsearch.com/browse?sys_id=990000923530205171&page=22&volume_ie=IE50313308
Ms. EVR II A 7,מוצא לא אומת,קובץ דרשות — לפי הקטלוג,"בעמ׳ 78: בקושי התירו זכרנו ומי כמוך, השמטה אינה מחייבת חזרה, ומחלוקת על מיקום זכרנו ביחס למלך עוזר ומושיע ומגן.",לא נמצא,המחבר לא זוהה; מוצא מן הגניזה לא אומת. עמ׳ 145 אינו עיקר הדיון.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990000628310205171&page=78&volume_ie=IE48752890 ; https://genizahsearch.com/browse?sys_id=990000628310205171&page=145&volume_ie=IE48752890
T-S NS 195.55,הוראות ונוסח,סדר ראש השנה ועשרת ימי תשובה,הוראה לחתום את ברכת השיבה בהמלך המשפט; סמוך לכך סדר תקיעות.,לא נמצא,"עד להוראות הביצוע, לא דיון במחלוקת.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051571290205171&page=1&volume_ie=IE162824215
Ms. Evr. Antonin B 340,דיון,הלכות גדולות — לפי הקטלוג,"חתימות המלך הקדוש והמלך המשפט בעשרת הימים, וקביעה וכן הלכה.",לא נמצא,עמ׳ 4 ו־7 הם כנראה צילום כולל וצילום נוסף של אותו טקסט; נספר פעם אחת.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990001662450205171&page=7&volume_ie=IE36930015 ; https://genizahsearch.com/browse?sys_id=990001662450205171&page=4&volume_ie=IE36930015
Ms. T-S Misc. 14.37.5,דיון,הלכות הרי״ף / בבלי — לפי הקטלוג,הפסקה התלמודית על שינוי החתימות והמחלוקת אם החתימה הרגילה מועילה.,יש,"סימן מדף מורכב, והקטלוג כולל גם שבת; נדרש אימות צילום ומיפוי לפני הצגה כעד חדש.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051080030205171&page=4&volume_ie=IE202427863
